p,m,n,q,df,skewness,kurtosis,distribution,method,convergence rate,mean of a,median of a,max of a,min of a,rmse,biase of se,Type I error rate of T,Type I error rate of T_SB,Type I error rate of T_JY
15,3,1000,33,87,0.995411128,0.997797194,normal,dls,1,0.992184182,1,1,0.935580611,0.047789209,0.00175918,0.034,0.04,0.04
15,3,1000,33,87,0.995411128,0.997797194,normal,wls,1,0,0,0,0,0.053045527,0.015336431,0.211,0.211,0.211
15,3,1000,33,87,13.16800715,2.100640857,elliptical,gls,1,1,1,1,1,0.076746705,0.003893865,0.997,0.053,0.053
15,3,1000,33,87,13.16800715,2.100640857,elliptical,dls,1,0.908228221,0.909755129,0.995790679,0.746451856,0.073833544,0.039439975,0.976,0.045,0.045
15,3,1000,33,87,13.16800715,2.100640857,elliptical,wls,1,0,0,0,0,0.143674273,0.128811137,0.212,0.212,0.212
15,3,1000,33,87,50.48768416,2.92820978,skewed,gls,1,1,1,1,1,0.147344383,0.003791832,0.987,0.053,0.053
15,3,1000,33,87,50.48768416,2.92820978,skewed,dls,1,0.817425423,0.824227953,0.993704637,0.564467589,0.129702327,0.075174725,0.846,0.049,0.049
15,3,1000,33,87,50.48768416,2.92820978,skewed,wls,1,0,0,0,0,0.20079791,0.175118213,0.165,0.165,0.165
21,3,100,45,186,0.969103242,0.980491958,normal,gls,0.997,1,1,1,1,0.134801151,0.007808592,0.049147442,0.09227683,0.033099298
21,3,100,45,186,0.969103242,0.980491958,normal,dls,0.997,1,1,1,1,0.134801182,0.007808494,0.049147442,0.09227683,0.033099298
NA,NA,NA,NA,NA,NA,NA,normal,wls,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,NA,NA,NA,NA,NA
21,3,100,45,186,2.051334126,1.262549719,elliptical,gls,1,1,1,1,1,0.235893936,0.018653614,0.991,0.151,0.057
21,3,100,45,186,2.051334126,1.262549719,elliptical,dls,1,0.997729645,1,1,0.985783174,0.198402432,0.044106993,0.991,0.119,0.037
NA,NA,NA,NA,NA,NA,NA,elliptical,wls,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,NA,NA,NA,NA,NA
21,3,100,45,186,2.981660958,1.41966653,skewed,gls,1,1,1,1,1,0.414161571,0.024397542,0.952,0.088,0.021
21,3,100,45,186,2.981376509,1.419601848,skewed,dls,0.999,0.977386556,0.978132261,0.992461231,0.934128349,0.296124018,0.129518102,0.945945946,0.185185185,0.046046046
NA,NA,NA,NA,NA,NA,NA,skewed,wls,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,NA,NA,NA,NA,NA
21,3,200,45,186,0.984021422,0.990096478,normal,gls,1,1,1,1,1,0.093966266,0.004207658,0.05,0.072,0.072
21,3,200,45,186,0.984021422,0.990096478,normal,dls,1,0.999808892,1,1,0.978389901,0.093965481,0.00422459,0.05,0.072,0.072
NA,NA,NA,NA,NA,NA,NA,normal,wls,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,NA,NA,NA,NA,NA
21,3,200,45,186,3.406235571,1.487668332,elliptical,gls,1,1,1,1,1,0.1660451,0.010722818,0.998,0.098,0.098
21,3,200,45,186,3.406235571,1.487668332,elliptical,dls,1,0.988234441,0.988317095,1,0.970463996,0.137309568,0.053422049,0.998,0.084,0.084
NA,NA,NA,NA,NA,NA,NA,elliptical,wls,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,NA,NA,NA,NA,NA
21,3,200,45,186,6.049806437,1.74954127,skewed,gls,1,1,1,1,1,0.302334505,0.015319403,0.98,0.069,0.069
21,3,200,45,186,6.049806437,1.74954127,skewed,dls,1,0.95308764,0.955898488,0.979534822,0.875275791,0.225634504,0.130472899,0.968,0.137,0.137
NA,NA,NA,NA,NA,NA,NA,skewed,wls,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,NA,NA,NA,NA,NA
21,3,300,45,186,0.99024845,0.993373699,normal,gls,1,1,1,1,1,0.080638547,0.0035747,0.045,0.054,0.054
21,3,300,45,186,0.99024845,0.993373699,normal,dls,1,0.999220961,1,1,0.97339014,0.080637544,0.003610532,0.045,0.054,0.054
21,3,300,45,186,0.990269744,0.99338897,normal,wls,0.998,0,0,0,0,0.166205616,0.082725638,1,1,1
21,3,300,45,186,4.584711587,1.622924813,elliptical,gls,1,1,1,1,1,0.134656048,0.006736374,1,0.071,0.071
