p,m,p,distribution,method,convergence rate,mean of a,median of a,max of a,min of a,rmse,bias of se,Type I error rate of  T,Type I error rate of T_SB,Type I error rate of T_JY,Type I error rate of T_MVA
1,21,200,vm2,1,0.992,1,1,1,1,0.227684038,0.164898659,0.998991935,0.14516129,0.14516129,0
2,21,200,vm2,1,0.992,0.994053427,0.994237688,0.99726165,0.988129117,0.207140824,0.138329453,0.998991935,0.109879032,0.109879032,0
3,NA,NA,vm2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,21,300,vm1,1,0.939,1,1,1,1,0.143345189,0.071914583,0.990415335,0.086261981,0.086261981,0
2,21,300,vm1,1,0.939,0.996830787,0.996927849,0.998734735,0.991657621,0.140182785,0.068619333,0.990415335,0.084132055,0.084132055,0
3,21,300,vm1,1,0.938,0,0,0,0,0.404383705,0.689763923,1,1,1,1
1,21,300,vm2,1,0.997,1,1,1,1,0.18864743,0.133494379,1,0.117352056,0.117352056,0
2,21,300,vm2,1,0.997,0.992352702,0.99259604,0.996843664,0.98254979,0.172377059,0.11071636,1,0.073219659,0.073219659,0
3,21,300,vm2,1,0.941,0,0,0,0,0.509178877,0.714555896,1,1,1,1
1,21,500,vm1,1,0.999,1,1,1,1,0.109278138,0.053685897,0.998998999,0.085085085,0.085085085,0
2,21,500,vm1,1,0.999,0.9956364,0.995786298,0.997558271,0.992479359,0.10678247,0.051652236,0.998998999,0.085085085,0.085085085,0
3,21,500,vm1,1,0.999,0,0,0,0,0.335148075,0.470795943,0.996996997,0.996996997,0.996996997,0.996996997
1,21,500,vm2,1,0.999,1,1,1,1,0.148816141,0.102634886,1,0.099099099,0.099099099,0
2,21,500,vm2,1,0.999,0.989267425,0.989455289,0.994687664,0.980374953,0.137077437,0.086625473,0.998998999,0.072072072,0.072072072,0
3,21,500,vm2,1,0.998,0,0,0,0,0.406363773,0.486274828,1,1,1,1
1,21,1000,vm1,1,1,1,1,1,1,0.079780742,0.03362454,1,0.075,0.075,0.008
2,21,1000,vm1,1,1,0.994360051,0.994447207,0.996738214,0.989891089,0.078675546,0.033615805,1,0.072,0.072,0.01
3,21,1000,vm1,1,1,0,0,0,0,0.223192549,0.288423547,0.743,0.743,0.743,0.743
1,21,1000,vm2,1,1,1,1,1,1,0.105044483,0.066969253,1,0.091,0.091,0.003
2,21,1000,vm2,1,1,0.98278505,0.983392093,0.991733291,0.96019846,0.098745499,0.0552392,1,0.071,0.071,0.002
3,21,1000,vm2,1,1,0,0,0,0,0.296864448,0.2973016,0.738,0.738,0.738,0.738
